,Date,State,Dead,Injured,Total,Description,Month,Year,WeekDay,WeekOfYear,YearWeek
1055,2020-08-16,Kentucky,1,3,4,An eighteen-year-old was killed and three others wounded after a disturbance occurred at a large gathering.,8,2020,6,33,2020 - 33
1056,2020-08-16,Ohio,2,9,11,One person died at the scene and one later at the hospital with nine others wounded in an early morning shooting.,8,2020,6,33,2020 - 33
1057,2020-08-16,Ohio,1,3,4,"Responding officers found a man wounded shortly after midnight, who later died at the hospital. Three others arrived by private vehicles to the hospital.",8,2020,6,33,2020 - 33
1058,2020-08-16,Oklahoma,0,4,4,Four people were wounded at a large birthday party in the parking lot.,8,2020,6,33,2020 - 33
1059,2021-08-16,Michigan,1,3,4,A man was killed and three others injured outside a local bar.,8,2021,0,33,2021 - 33
1060,2021-08-16,New York,0,8,8,Five women and three men were wounded outside a housing project in Brooklyn shortly after midnight.,8,2021,0,33,2021 - 33
1061,2019-09-16,Wyoming,2,2,4,"Two adults killed, two juveniles injured in east Cheyenne shooting.",9,2019,0,38,2019 - 38
1062,2020-09-16,Pennsylvania,2,3,5,"Two men were killed and three wounded while playing basketball at the Roberto Clemente Playground in Spring Garden. Police believe the men were targeted as the three shooters chased them down, after the first confrontation.",9,2020,2,38,2020 - 38
1063,2018-10-16,Georgia,0,4,4,Four people were injured in a drive-by shooting.,10,2018,1,42,2018 - 42
1064,2020-10-16,California,1,3,4,A man was killed and another and two women were injured in an evening shooting.,10,2020,4,42,2020 - 42
1065,2020-10-16,Arizona,1,6,7,Six people were injured in a drive-by shooting and one was killed. Three of the injured were children and three were adults. The victim killed was one year old.,10,2020,4,42,2020 - 42
1066,2020-10-16,Florida,3,1,4,Three people were killed and one wounded after an argument occurred in the early morning at a private motorcycle club over a motorcycle. The wounded victim is refusing to cooperate with police.,10,2020,4,42,2020 - 42
1067,2020-10-16,California,2,4,6,Shortly before midnight two men were killed and four injured at a local restaurant.,10,2020,4,42,2020 - 42
1068,2021-10-16,Texas,1,3,4,Four people were wounded in the parking lot of a club in the early morning. One of the wounded died two days later.,10,2021,5,41,2021 - 41
1069,2018-11-16,Wisconsin,1,3,4,"Two people were shot inside a home, and two others were shot at a gas station. One of the victims later died of their injuries.",11,2018,4,46,2018 - 46
1070,2018-11-16,Arkansas,3,1,4,"Police found a boy suffering from gunshot injuries, then discovered a car that had crashed into a ditch. Inside the car were three people who had all been shot and killed.",11,2018,4,46,2018 - 46
1071,2019-11-16,California,5,1,6,"A man killed his estranged wife and their three children, wounding a fourth child, before killing himself.",11,2019,5,46,2019 - 46
1072,2020-11-16,Florida,0,4,4,Two adults and two children under the age of seven were wounded in a drive-by shooting. They were standing outside a home in Golden Glades.,11,2020,0,47,2020 - 47
1073,2020-11-16,Illinois,0,4,4,Four people were wounded in a drive-by shooting while walking down a road on the West Side. Two of the wounded were teenage girls.,11,2020,0,47,2020 - 47
1074,2020-11-16,Illinois,0,4,4,Four people were wounded at the Dearborn homes after another group began an argument which escalated.,11,2020,0,47,2020 - 47
1075,2021-12-16,Alabama,0,4,4,Four people were wounded in an afternoon shooting.,12,2021,3,50,2021 - 50
1076,2018-01-17,District of Columbia,1,3,4,A man killed one person and injured three others after determining them to be acquaintances of a person who stole his favorite pistol. The man was later taken into custody.,1,2018,2,3,2018 - 3
1077,2019-01-17,Kentucky,3,1,4,Three people were killed and another person was wounded in a shooting at a home. Two men were arrested in relation to the shooting.,1,2019,3,3,2019 - 3
1078,2020-01-17,Utah,4,1,5,"Haynie family shooting: Four people were killed and one was injured after a teenager allegedly fired at his family at their house. He was charged with four counts of aggravated murder, one count of attempted aggravated murder and five counts of illegal discharge of a firearm.",1,2020,4,3,2020 - 3
1079,2021-01-17,Arizona,0,5,5,Five men were injured during a shooting near a strip mall. Police think there may have been a shootout.,1,2021,6,2,2021 - 2
1080,2021-01-17,Arizona,1,6,7,A shooting at a nightclub killed one and injured six.,1,2021,6,2,2021 - 2
1081,2018-02-17,Kansas,1,7,8,One person was killed and seven others were injured at a party in what police suspect to be a gang-related shooting.,2,2018,5,7,2018 - 7
1082,2018-02-17,Tennessee,0,5,5,Five people were wounded in a shooting outside a nightclub.,2,2018,5,7,2018 - 7
1083,2019-02-17,Texas,2,2,4,"Two people were wounded and two were killed in a shooting at an apartment complex. The suspect was later arrested in Bienville Parish, Louisiana.",2,2019,6,7,2019 - 7
1084,2019-02-17,Indiana,0,5,5,Five people were wounded after shots were fired outside of a bar. Two suspects were taken into custody by police.,2,2019,6,7,2019 - 7
1085,2019-02-17,Louisiana,1,5,6,"After police attempted to arrest a suspect, a gunfight broke out, and led to one person being killed and five being wounded.",2,2019,6,7,2019 - 7
1086,2020-02-17,Mississippi,2,2,4,"Four students of Alcorn State University were involved in a shooting off campus, with two being killed and two others injured.",2,2020,0,8,2020 - 8
1087,2021-02-17,Pennsylvania,0,8,8,"A shooter injured eight people, including a seventeen-year-old, near the Olney Transportation Center.",2,2021,2,7,2021 - 7
1088,2018-03-17,Illinois,0,4,4,"Four men were wounded in a shooting in a strip club, which seemed to stem from an earlier incident at a different nightclub.",3,2018,5,11,2018 - 11
1089,2018-03-17,Kentucky,0,7,7,Seven people were injured in a shooting in a nightclub.,3,2018,5,11,2018 - 11
1090,2019-03-17,Georgia,0,4,4,"Four people were wounded after an argument, although the shooter claims that it was in self-defense to being randomly attacked.",3,2019,6,11,2019 - 11
1091,2019-03-17,Nevada,0,4,4,Four people were wounded at the El Cortez Hotel and Casino in an early morning shooting. The suspect was later arrested.,3,2019,6,11,2019 - 11
1092,2019-03-17,Georgia,1,3,4,"In the early morning, two groups were involved in a dispute, which ended with one person killed and three people wounded.",3,2019,6,11,2019 - 11
1093,2020-03-17,Maryland,0,7,7,Police reported that seven people were injured during a police involved shooting. None of those wounded were police officers.,3,2020,1,12,2020 - 12
1094,2021-03-17,California,0,5,5,Five people were wounded after a drive-by shooting at a vigil. Police say the victims are uncooperative.,3,2021,2,11,2021 - 11
1095,2020-04-17,North Carolina,1,3,4,Responding police discovered three adults and a juvenile injured by a shooting. An adult later died in the hospital.,4,2020,4,16,2020 - 16
1096,2020-04-17,Massachusetts,1,4,5,One man was killed and four others injured after multiple individuals opened fire on a backyard gathering before fleeing in a car and continuing to fire.,4,2020,4,16,2020 - 16
1097,2021-04-17,Ohio,1,5,6,A woman was killed and five were wounded after a shooting at a vigil for a homicide victim.,4,2021,5,15,2021 - 15
1098,2021-04-17,Louisiana,0,9,9,Nine people were shot and injured during a 12-year old's birthday party.,4,2021,5,15,2021 - 15
